player_name,plus_minus,eFG_avg,winning_perct,total_games,pts,Score,year_count,plus_minus_x,eFG_avg_x,winning_perct_x,total_games_x,pts_x,Score_x,year_count_x,plus_minus_y,eFG_avg_y,winning_perct_y,total_games_y,pts_y,Score_y,year_count_y,total_year_count,total_score,avg_score,Rank
Jakob Poeltl,1.12987012987013,64.48275862068965,55.84415584415584,77,5.493506494,26.34146887624774,1,3.3636363636363638,61.11111111111111,54.54545454545454,33,6.5,24.395959595959592,1,1.8333333333333333,62.406015037594,45.45454545454545,66,5.636363636363638,25.01438254727729,1,3,24.957052273462274,8.319017424487425,152
Derrick Jones Jr.,-0.3333333333333333,53.7037037037037,51.66666666666667,60,7.033333333,23.145925925725923,1,1.0967741935483872,57.6923076923077,58.064516129032256,31,8.181818181818182,24.059587187006546,1,-0.4915254237288136,58.02292263610315,57.62711864406779,59,8.474576271186441,25.298950998008838,1,3,24.943426982194236,8.314475660731413,153
Gary Harris,3.929824561403509,48.822605965463104,66.66666666666666,57,12.92982456,27.12933570104999,1,5.157894736842105,51.92307692307693,57.89473684210528,19,9.68421052631579,23.925506072874494,1,2.1785714285714284,48.747591522158004,66.07142857142857,56,10.375,25.060112166253788,1,3,24.93665212431774,8.31221737477258,154
Alec Burks,-4.640625,46.94092827004219,29.6875,64,8.765625,20.518825817510546,1,3.12,50.881057268722465,52.0,25,11.481481481481481,24.239153206069506,1,-3.3939393939393936,49.34895833333333,31.818181818181817,66,15.045454545454545,25.406936553030302,1,3,24.928974346862155,8.309658115620719,155
Victor Oladipo,3.5277777777777777,48.63945578231293,69.44444444444444,36,18.75,29.5640306122449,1,-0.5833333333333334,46.78899082568807,41.66666666666667,24,20.08,26.882747706422016,1,-0.10526315789473684,46.138211382113816,57.89473684210528,19,14.473684210526311,24.037184424475818,1,3,24.882639390253516,8.294213130084506,156
Gary Trent Jr.,-0.5333333333333333,37.0,93.33333333333331,15,2.666666667,16.133333333533333,1,-0.30303030303030304,53.926096997690536,60.60606060606061,33,15.228571428571426,27.22321256111094,1,-0.8688524590163934,57.14285714285715,47.540983606557376,61,8.868852459016392,24.816861826697895,1,3,24.863955548922274,8.287985182974092,157
Wesley Matthews,-1.3043478260869563,50.7163323782235,39.130434782608695,69,12.17391304,25.063865701164573,1,-1.0333333333333334,48.72881355932204,56.66666666666666,30,4.193548387096774,18.773332422088576,1,6.776119402985074,52.36966824644551,77.61194029850745,67,7.373134328358209,26.440924524297944,1,3,24.838553162699405,8.279517720899802,158
Jeff Green,-1.207792207792208,55.53129548762738,37.662337662337656,77,12.28571429,26.685421277075676,1,0.9696969696969696,61.659192825112115,60.60606060606061,33,9.428571428571429,25.99466833614816,1,-1.8333333333333333,55.23255813953488,58.33333333333334,48,9.4375,24.328972868217058,1,3,24.77993438224621,8.259978127415403,159
Marc Gasol,2.037974683544304,50.51724137931034,49.36708860759494,79,13.55696203,27.69133566409341,1,2.057142857142857,51.865671641791046,68.57142857142857,35,4.8,21.5392750533049,1,6.0681818181818175,52.86738351254481,79.54545454545455,44,7.5227272727272725,25.424800423590746,1,3,24.761022111558713,8.253674037186238,160
Kostas Antetokounmpo,1.5,0.0,50.0,2,1.0,3.575,1,-1.0,33.33333333333333,66.66666666666666,3,1.0,12.166666666666664,1,1.4,100.0,60.0,5,1.4,29.44,1,3,24.692083333333336,8.230694444444445,161
Reggie Jackson,0.5487804878048781,50.42979942693411,50.0,82,15.36585366,28.56415717468475,1,1.1142857142857143,54.79999999999999,60.0,35,8.61111111111111,23.895238095238092,1,3.4838709677419355,49.846625766871156,51.61290322580646,31,11.93548387096774,24.62455966752424,1,3,24.67567522842504,8.22522507614168,162
